time,lat,lon,fixType,diffSoln,carrSoln,hAcc_m
1776149604.8832474,37.5996384,127.0439015,3,1,0,0.371
1776149604.9839313,37.5996378,127.0439013,3,1,0,0.375
1776149605.0946572,37.5996373,127.0439009,3,1,0,0.38
1776149605.1852326,37.5996364,127.0439006,3,1,1,0.378
1776149605.2959378,37.5996359,127.0439004,3,1,1,0.376
1776149605.38655,37.5996352,127.0439002,3,1,1,0.374
1776149605.487215,37.5996345,127.0438996,3,1,1,0.375
1776149605.5878482,37.5996337,127.0438993,3,1,1,0.376
1776149605.6885326,37.5996332,127.0438992,3,1,1,0.377
1776149605.7891607,37.5996325,127.043899,3,1,1,0.378
1776149605.889787,37.5996317,127.0438986,3,1,1,0.38
1776149605.9904191,37.599631,127.0438982,3,1,1,0.381
1776149606.0910451,37.5996302,127.0438978,3,1,0,0.385
1776149606.1916714,37.5996298,127.0438975,3,1,1,0.384
1776149606.2923148,37.5996291,127.0438977,3,1,1,0.383
1776149606.3929749,37.5996282,127.0438972,3,1,1,0.382
1776149606.4936094,37.5996275,127.043897,3,1,1,0.382
1776149606.5841815,37.5996268,127.0438964,3,1,0,0.386
1776149606.6848552,37.5996261,127.0438961,3,1,0,0.391
1776149606.7854807,37.5996255,127.0438959,3,1,0,0.395
1776149606.886107,37.5996248,127.0438957,3,1,0,0.399
1776149606.9867346,37.5996239,127.0438953,3,1,0,0.403
1776149607.0974188,37.5996234,127.0438953,3,1,0,0.40800000000000003
1776149607.1879914,37.5996227,127.0438947,3,1,0,0.41200000000000003
1776149607.288644,37.5996219,127.0438943,3,1,0,0.417
1776149607.3893092,37.5996217,127.0438941,3,1,0,0.421
1776149607.4899416,37.5996208,127.0438939,3,1,0,0.425
1776149607.5905757,37.59962,127.0438935,3,1,0,0.429
1776149607.691209,37.5996197,127.0438935,3,1,0,0.434
1776149607.7817912,37.599619,127.0438929,3,1,0,0.438
1776149607.8824627,37.5996183,127.0438926,3,1,0,0.442
1776149607.9830935,37.599618,127.0438927,3,1,0,0.446
1776149608.093822,37.5996172,127.0438924,3,1,0,0.45
1776149608.1843967,37.5996165,127.0438923,3,1,1,0.444
1776149608.295153,37.5996157,127.0438921,3,1,1,0.438
1776149608.3857625,37.5996152,127.0438916,3,1,0,0.442
1776149608.4864066,37.5996147,127.043892,3,1,0,0.446
1776149608.5870342,37.5996143,127.0438921,3,1,0,0.45
1776149608.6876616,37.5996136,127.0438919,3,1,0,0.453
1776149608.7782423,37.5996127,127.0438918,3,1,0,0.457
1776149608.8889585,37.599612,127.0438914,3,1,0,0.46
1776149608.9895868,37.5996115,127.0438913,3,1,0,0.465
1776149609.0902188,37.5996108,127.043891,3,1,0,0.468
